[0.71899]: 1ba2B 2dri
1BA2_15_01_unrelaxed_rank_4_model_3: 0.7345 0.9862
1BA2_15_01_unrelaxed_rank_5_model_5: 0.7406 0.9846
1BA2_15_02_unrelaxed_rank_1_model_4: 0.7472 0.9819
1BA2_15_02_unrelaxed_rank_2_model_2: 0.7360 0.9875
1BA2_15_02_unrelaxed_rank_3_model_1: 0.7331 0.9863
1BA2_15_02_unrelaxed_rank_4_model_3: 0.7459 0.9849
1BA2_15_02_unrelaxed_rank_5_model_5: 0.7362 0.9865
1BA2_15_03_unrelaxed_rank_1_model_4: 0.7496 0.9800
1BA2_15_03_unrelaxed_rank_2_model_2: 0.7385 0.9863
1BA2_15_03_unrelaxed_rank_3_model_1: 0.7345 0.9843
1BA2_15_03_unrelaxed_rank_4_model_3: 0.7458 0.9845
1BA2_15_03_unrelaxed_rank_5_model_5: 0.7307 0.9845
1BA2_17_01_unrelaxed_rank_1_model_4: 0.7518 0.9631
1BA2_17_01_unrelaxed_rank_2_model_2: 0.7276 0.9799
1BA2_17_01_unrelaxed_rank_3_model_3: 0.7680 0.9476
1BA2_17_01_unrelaxed_rank_4_model_1: 0.8054 0.9061
1BA2_17_01_unrelaxed_rank_5_model_5: 0.9443 0.7785
1BA2_17_02_unrelaxed_rank_1_model_4: 0.7321 0.9741
1BA2_17_02_unrelaxed_rank_2_model_2: 0.7245 0.9832
1BA2_17_02_unrelaxed_rank_3_model_1: 0.8070 0.8986
1BA2_17_02_unrelaxed_rank_4_model_3: 0.7689 0.9446
1BA2_17_02_unrelaxed_rank_5_model_5: 0.8150 0.8998
1BA2_17_03_unrelaxed_rank_1_model_4: 0.7300 0.9741
1BA2_17_03_unrelaxed_rank_2_model_1: 0.8031 0.9034
1BA2_17_03_unrelaxed_rank_3_model_2: 0.7237 0.9844
1BA2_17_03_unrelaxed_rank_4_model_3: 0.7701 0.9457
1BA2_17_03_unrelaxed_rank_5_model_5: 0.8965 0.8292
1BA2_18_01_unrelaxed_rank_1_model_1: 0.7426 0.9879
1BA2_18_01_unrelaxed_rank_2_model_4: 0.7512 0.9837
1BA2_18_01_unrelaxed_rank_3_model_3: 0.7599 0.9813
1BA2_18_01_unrelaxed_rank_4_model_2: 0.7418 0.9767
1BA2_18_01_unrelaxed_rank_5_model_5: 0.7652 0.9676
1BA2_18_02_unrelaxed_rank_1_model_1: 0.7402 0.9893
1BA2_18_02_unrelaxed_rank_2_model_3: 0.7478 0.9849
1BA2_18_02_unrelaxed_rank_3_model_2: 0.7383 0.9778
1BA2_18_02_unrelaxed_rank_4_model_4: 0.7421 0.9771
1BA2_18_02_unrelaxed_rank_5_model_5: 0.7579 0.9728
1BA2_18_03_unrelaxed_rank_1_model_1: 0.7404 0.9878
1BA2_18_03_unrelaxed_rank_2_model_3: 0.7562 0.9826
1BA2_18_03_unrelaxed_rank_3_model_2: 0.7339 0.9870
1BA2_18_03_unrelaxed_rank_4_model_4: 0.7318 0.9739
1BA2_18_03_unrelaxed_rank_5_model_5: 0.7571 0.9667
1BA2_20_01_unrelaxed_rank_1_model_2: 0.7467 0.9662
1BA2_20_01_unrelaxed_rank_2_model_3: 0.7622 0.9470
1BA2_20_01_unrelaxed_rank_3_model_1: 0.7858 0.9289
1BA2_20_01_unrelaxed_rank_4_model_4: 0.7829 0.9298
1BA2_20_01_unrelaxed_rank_5_model_5: 0.7712 0.9494
1BA2_20_02_unrelaxed_rank_1_model_3: 0.7676 0.9407
1BA2_20_02_unrelaxed_rank_2_model_2: 0.7777 0.9452
1BA2_20_02_unrelaxed_rank_3_model_1: 0.7757 0.9396
1BA2_20_02_unrelaxed_rank_4_model_4: 0.7667 0.9448
1BA2_20_02_unrelaxed_rank_5_model_5: 0.7653 0.9448
1BA2_20_03_unrelaxed_rank_1_model_2: 0.7410 0.9668
1BA2_20_03_unrelaxed_rank_2_model_3: 0.7687 0.9460
1BA2_20_03_unrelaxed_rank_3_model_1: 0.7744 0.9420
1BA2_20_03_unrelaxed_rank_4_model_4: 0.7619 0.9404
1BA2_20_03_unrelaxed_rank_5_model_5: 0.7673 0.9460
1BA2_21_01_unrelaxed_rank_1_model_4: 0.7419 0.9862
1BA2_21_01_unrelaxed_rank_2_model_1: 0.7388 0.9892
1BA2_21_01_unrelaxed_rank_3_model_3: 0.7398 0.9907
1BA2_21_01_unrelaxed_rank_4_model_2: 0.7373 0.9885
1BA2_21_01_unrelaxed_rank_5_model_5: 0.7592 0.9798
1BA2_21_02_unrelaxed_rank_1_model_1: 0.7380 0.9887
